NODE_KEY,BP_ROLE,EMAIL_ADDRESS,PHONE_NUMBER,FAX_NUMBER,WEB_ADDRESS,ADDRESS_GUID_NODE_KEY,BP_ID,COMPANY_NAME
005056B551001EE898FBC85B2FF13138,1,1@gmail.com,778899634,778899634,,005056B529A61ED7A8F31B6CA8D7B527,11100001,Deoitte
005056B551001EE898FBCDDC4C74F13B,2,2@gmail.com,778899635,778899635,,005056B529A61ED7A8F31B86EB20B527,11100002,NDBS
005056B551001EE898FC092A049BB171,1,3@gmail.com,778899636,778899636,,005056B529A61ED7A8F31B86EB221527,11100003,CTS
005056B551001EE898FC0CFEB5487174,1,4@gmail.com,778899637,778899637,,005056B529A61ED7A8F31BAA9F143527,11100004,TCS
005056B551001EE898FC1018946E3174,1,5@gmail.com,778899638,778899638,,005056B529A61ED7ADB327DA162F7F8F,11100006,Wipro
005056B551001EE898FC135554C47180,2,6@gmail.com,778899639,778899639,,005056B529A61ED7ADB327F63F09DF8F,11100008,Dell
005056B551001EE898FC167749467181,2,7@gmail.com,778899640,778899640,,005056B529A61ED7ADB327F63F0B3F8F,11100009,Syngent
005056B551001EE898FBD6DD4D3E3147,1,8@gmail.com,778899641,778899641,,005056B529A61EE7ADB41129B55F011E,11300001,Radius
005056B551001EE898FBDA0F537C7148,1,9@gmail.com,778899642,778899642,,020062D4000C1EEAB3B408AD9E499183,11300002,Tesla
005056B551001EE898FC1BB21960F184,1,10@gmail.com,778899643,778899643,,020062D4000C1EDCAAA3B6E076010F6E,11300006,OpenAI
